fecha,valor,porcentaje,indicator,region
2023-01-01T00:00:00.000+01:00,98.699,1,Índice industria,peninsular
2023-02-01T00:00:00.000+01:00,98.208,1,Índice industria,peninsular
2023-03-01T00:00:00.000+01:00,102.00600000000001,1,Índice industria,peninsular
2023-04-01T00:00:00.000+02:00,101.173,1,Índice industria,peninsular
2023-05-01T00:00:00.000+02:00,102.377,1,Índice industria,peninsular
2023-06-01T00:00:00.000+02:00,102.8315,1,Índice industria,peninsular
2023-07-01T00:00:00.000+02:00,102.79757142857144,1,Índice industria,peninsular
2023-08-01T00:00:00.000+02:00,101.013625,1,Índice industria,peninsular
2023-09-01T00:00:00.000+02:00,101.19966666666667,1,Índice industria,peninsular
2023-10-01T00:00:00.000+02:00,101.64110000000001,1,Índice industria,peninsular
2023-11-01T00:00:00.000+01:00,101.87718181818182,1,Índice industria,peninsular
2023-12-01T00:00:00.000+01:00,100.6975,1,Índice industria,peninsular
2023-01-01T00:00:00.000+01:00,81.072,1,Índice industria corregido,peninsular
2023-02-01T00:00:00.000+01:00,84.5775,1,Índice industria corregido,peninsular
2023-03-01T00:00:00.000+01:00,85.83466666666668,1,Índice industria corregido,peninsular
2023-04-01T00:00:00.000+02:00,85.5575,1,Índice industria corregido,peninsular
2023-05-01T00:00:00.000+02:00,85.6732,1,Índice industria corregido,peninsular
2023-06-01T00:00:00.000+02:00,85.50183333333332,1,Índice industria corregido,peninsular
2023-07-01T00:00:00.000+02:00,84.38842857142856,1,Índice industria corregido,peninsular
2023-08-01T00:00:00.000+02:00,81.978,1,Índice industria corregido,peninsular
2023-09-01T00:00:00.000+02:00,82.137,1,Índice industria corregido,peninsular
2023-10-01T00:00:00.000+02:00,82.38359999999999,1,Índice industria corregido,peninsular
2023-11-01T00:00:00.000+01:00,82.91545454545454,1,Índice industria corregido,peninsular
2023-12-01T00:00:00.000+01:00,82.27708333333332,1,Índice industria corregido,peninsular
2023-01-01T00:00:00.000+01:00,-8.839937194051906,1,Annual variation,peninsular
2023-02-01T00:00:00.000+01:00,-8.26183414679713,1,Annual variation,peninsular
2023-03-01T00:00:00.000+01:00,-5.723422346547696,1,Annual variation,peninsular
2023-04-01T00:00:00.000+02:00,-6.437815868201176,1,Annual variation,peninsular
2023-05-01T00:00:00.000+02:00,-7.1806123466640095,1,Annual variation,peninsular
2023-06-01T00:00:00.000+02:00,-7.419339349432947,1,Annual variation,peninsular
2023-07-01T00:00:00.000+02:00,-7.656385347355441,1,Annual variation,peninsular
2023-08-01T00:00:00.000+02:00,-7.691736554853182,1,Annual variation,peninsular
2023-09-01T00:00:00.000+02:00,-7.48182745324302,1,Annual variation,peninsular
2023-10-01T00:00:00.000+02:00,-6.914568206961732,1,Annual variation,peninsular
2023-11-01T00:00:00.000+01:00,-6.198056913175479,1,Annual variation,peninsular
2023-12-01T00:00:00.000+01:00,-5.912829389189061,1,Annual variation,peninsular
2023-01-01T00:00:00.000+01:00,-9.564286192356601,1,Corrected annual variation,peninsular
2023-02-01T00:00:00.000+01:00,-8.828031519829246,1,Corrected annual variation,peninsular
2023-03-01T00:00:00.000+01:00,-6.425132183803616,1,Corrected annual variation,peninsular
2023-04-01T00:00:00.000+02:00,-6.987046730699186,1,Corrected annual variation,peninsular
2023-05-01T00:00:00.000+02:00,-7.423560023859133,1,Corrected annual variation,peninsular
2023-06-01T00:00:00.000+02:00,-7.587065348774804,1,Corrected annual variation,peninsular
2023-07-01T00:00:00.000+02:00,-7.59417832326452,1,Corrected annual variation,peninsular
2023-08-01T00:00:00.000+02:00,-7.706077553329545,1,Corrected annual variation,peninsular
2023-09-01T00:00:00.000+02:00,-7.379606380899408,1,Corrected annual variation,peninsular
2023-10-01T00:00:00.000+02:00,-6.908241164692238,1,Corrected annual variation,peninsular
2023-11-01T00:00:00.000+01:00,-6.158590099873779,1,Corrected annual variation,peninsular
2023-12-01T00:00:00.000+01:00,-5.797868889372328,1,Corrected annual variation,peninsular
2023-01-01T00:00:00.000+01:00,98.699,1,Índice industria,canarias
2023-02-01T00:00:00.000+01:00,98.208,1,Índice industria,canarias
2023-03-01T00:00:00.000+01:00,102.00600000000001,1,Índice industria,canarias
2023-04-01T00:00:00.000+02:00,101.173,1,Índice industria,canarias
2023-05-01T00:00:00.000+02:00,102.377,1,Índice industria,canarias
2023-06-01T00:00:00.000+02:00,102.8315,1,Índice industria,canarias
2023-07-01T00:00:00.000+02:00,102.79757142857144,1,Índice industria,canarias
2023-08-01T00:00:00.000+02:00,101.013625,1,Índice industria,canarias
2023-09-01T00:00:00.000+02:00,101.19966666666667,1,Índice industria,canarias
2023-10-01T00:00:00.000+02:00,101.64110000000001,1,Índice industria,canarias
2023-11-01T00:00:00.000+01:00,101.87718181818182,1,Índice industria,canarias
2023-12-01T00:00:00.000+01:00,100.6975,1,Índice industria,canarias
2023-01-01T00:00:00.000+01:00,81.072,1,Índice industria corregido,canarias
2023-02-01T00:00:00.000+01:00,84.5775,1,Índice industria corregido,canarias
2023-03-01T00:00:00.000+01:00,85.83466666666668,1,Índice industria corregido,canarias
2023-04-01T00:00:00.000+02:00,85.5575,1,Índice industria corregido,canarias
2023-05-01T00:00:00.000+02:00,85.6732,1,Índice industria corregido,canarias
2023-06-01T00:00:00.000+02:00,85.50183333333332,1,Índice industria corregido,canarias
2023-07-01T00:00:00.000+02:00,84.38842857142856,1,Índice industria corregido,canarias
2023-08-01T00:00:00.000+02:00,81.978,1,Índice industria corregido,canarias
2023-09-01T00:00:00.000+02:00,82.137,1,Índice industria corregido,canarias
2023-10-01T00:00:00.000+02:00,82.38359999999999,1,Índice industria corregido,canarias
2023-11-01T00:00:00.000+01:00,82.91545454545454,1,Índice industria corregido,canarias
2023-12-01T00:00:00.000+01:00,82.27708333333332,1,Índice industria corregido,canarias
2023-01-01T00:00:00.000+01:00,-8.839937194051906,1,Annual variation,canarias
2023-02-01T00:00:00.000+01:00,-8.26183414679713,1,Annual variation,canarias
2023-03-01T00:00:00.000+01:00,-5.723422346547696,1,Annual variation,canarias
2023-04-01T00:00:00.000+02:00,-6.437815868201176,1,Annual variation,canarias
2023-05-01T00:00:00.000+02:00,-7.1806123466640095,1,Annual variation,canarias
2023-06-01T00:00:00.000+02:00,-7.419339349432947,1,Annual variation,canarias
2023-07-01T00:00:00.000+02:00,-7.656385347355441,1,Annual variation,canarias
2023-08-01T00:00:00.000+02:00,-7.691736554853182,1,Annual variation,canarias
2023-09-01T00:00:00.000+02:00,-7.48182745324302,1,Annual variation,canarias
2023-10-01T00:00:00.000+02:00,-6.914568206961732,1,Annual variation,canarias
2023-11-01T00:00:00.000+01:00,-6.198056913175479,1,Annual variation,canarias
2023-12-01T00:00:00.000+01:00,-5.912829389189061,1,Annual variation,canarias
2023-01-01T00:00:00.000+01:00,-9.564286192356601,1,Corrected annual variation,canarias
2023-02-01T00:00:00.000+01:00,-8.828031519829246,1,Corrected annual variation,canarias
2023-03-01T00:00:00.000+01:00,-6.425132183803616,1,Corrected annual variation,canarias
2023-04-01T00:00:00.000+02:00,-6.987046730699186,1,Corrected annual variation,canarias
2023-05-01T00:00:00.000+02:00,-7.423560023859133,1,Corrected annual variation,canarias
2023-06-01T00:00:00.000+02:00,-7.587065348774804,1,Corrected annual variation,canarias
2023-07-01T00:00:00.000+02:00,-7.59417832326452,1,Corrected annual variation,canarias
2023-08-01T00:00:00.000+02:00,-7.706077553329545,1,Corrected annual variation,canarias
2023-09-01T00:00:00.000+02:00,-7.379606380899408,1,Corrected annual variation,canarias
2023-10-01T00:00:00.000+02:00,-6.908241164692238,1,Corrected annual variation,canarias
2023-11-01T00:00:00.000+01:00,-6.158590099873779,1,Corrected annual variation,canarias
2023-12-01T00:00:00.000+01:00,-5.797868889372328,1,Corrected annual variation,canarias
2023-01-01T00:00:00.000+01:00,98.699,1,Índice industria,baleares
2023-02-01T00:00:00.000+01:00,98.208,1,Índice industria,baleares
2023-03-01T00:00:00.000+01:00,102.00600000000001,1,Índice industria,baleares
2023-04-01T00:00:00.000+02:00,101.173,1,Índice industria,baleares
2023-05-01T00:00:00.000+02:00,102.377,1,Índice industria,baleares
2023-06-01T00:00:00.000+02:00,102.8315,1,Índice industria,baleares
2023-07-01T00:00:00.000+02:00,102.79757142857144,1,Índice industria,baleares
2023-08-01T00:00:00.000+02:00,101.013625,1,Índice industria,baleares
2023-09-01T00:00:00.000+02:00,101.19966666666667,1,Índice industria,baleares
2023-10-01T00:00:00.000+02:00,101.64110000000001,1,Índice industria,baleares
2023-11-01T00:00:00.000+01:00,101.87718181818182,1,Índice industria,baleares
2023-12-01T00:00:00.000+01:00,100.6975,1,Índice industria,baleares
2023-01-01T00:00:00.000+01:00,81.072,1,Índice industria corregido,baleares
2023-02-01T00:00:00.000+01:00,84.5775,1,Índice industria corregido,baleares
2023-03-01T00:00:00.000+01:00,85.83466666666668,1,Índice industria corregido,baleares
2023-04-01T00:00:00.000+02:00,85.5575,1,Índice industria corregido,baleares
2023-05-01T00:00:00.000+02:00,85.6732,1,Índice industria corregido,baleares
2023-06-01T00:00:00.000+02:00,85.50183333333332,1,Índice industria corregido,baleares
2023-07-01T00:00:00.000+02:00,84.38842857142856,1,Índice industria corregido,baleares
2023-08-01T00:00:00.000+02:00,81.978,1,Índice industria corregido,baleares
2023-09-01T00:00:00.000+02:00,82.137,1,Índice industria corregido,baleares
2023-10-01T00:00:00.000+02:00,82.38359999999999,1,Índice industria corregido,baleares
2023-11-01T00:00:00.000+01:00,82.91545454545454,1,Índice industria corregido,baleares
2023-12-01T00:00:00.000+01:00,82.27708333333332,1,Índice industria corregido,baleares
2023-01-01T00:00:00.000+01:00,-8.839937194051906,1,Annual variation,baleares
2023-02-01T00:00:00.000+01:00,-8.26183414679713,1,Annual variation,baleares
2023-03-01T00:00:00.000+01:00,-5.723422346547696,1,Annual variation,baleares
2023-04-01T00:00:00.000+02:00,-6.437815868201176,1,Annual variation,baleares
2023-05-01T00:00:00.000+02:00,-7.1806123466640095,1,Annual variation,baleares
2023-06-01T00:00:00.000+02:00,-7.419339349432947,1,Annual variation,baleares
2023-07-01T00:00:00.000+02:00,-7.656385347355441,1,Annual variation,baleares
2023-08-01T00:00:00.000+02:00,-7.691736554853182,1,Annual variation,baleares
2023-09-01T00:00:00.000+02:00,-7.48182745324302,1,Annual variation,baleares
2023-10-01T00:00:00.000+02:00,-6.914568206961732,1,Annual variation,baleares
2023-11-01T00:00:00.000+01:00,-6.198056913175479,1,Annual variation,baleares
2023-12-01T00:00:00.000+01:00,-5.912829389189061,1,Annual variation,baleares
2023-01-01T00:00:00.000+01:00,-9.564286192356601,1,Corrected annual variation,baleares
2023-02-01T00:00:00.000+01:00,-8.828031519829246,1,Corrected annual variation,baleares
2023-03-01T00:00:00.000+01:00,-6.425132183803616,1,Corrected annual variation,baleares
2023-04-01T00:00:00.000+02:00,-6.987046730699186,1,Corrected annual variation,baleares
2023-05-01T00:00:00.000+02:00,-7.423560023859133,1,Corrected annual variation,baleares
2023-06-01T00:00:00.000+02:00,-7.587065348774804,1,Corrected annual variation,baleares
2023-07-01T00:00:00.000+02:00,-7.59417832326452,1,Corrected annual variation,baleares
2023-08-01T00:00:00.000+02:00,-7.706077553329545,1,Corrected annual variation,baleares
2023-09-01T00:00:00.000+02:00,-7.379606380899408,1,Corrected annual variation,baleares
2023-10-01T00:00:00.000+02:00,-6.908241164692238,1,Corrected annual variation,baleares
2023-11-01T00:00:00.000+01:00,-6.158590099873779,1,Corrected annual variation,baleares
2023-12-01T00:00:00.000+01:00,-5.797868889372328,1,Corrected annual variation,baleares
2023-01-01T00:00:00.000+01:00,98.699,1,Índice industria,ceuta
2023-02-01T00:00:00.000+01:00,98.208,1,Índice industria,ceuta
2023-03-01T00:00:00.000+01:00,102.00600000000001,1,Índice industria,ceuta
2023-04-01T00:00:00.000+02:00,101.173,1,Índice industria,ceuta
2023-05-01T00:00:00.000+02:00,102.377,1,Índice industria,ceuta
2023-06-01T00:00:00.000+02:00,102.8315,1,Índice industria,ceuta
2023-07-01T00:00:00.000+02:00,102.79757142857144,1,Índice industria,ceuta
2023-08-01T00:00:00.000+02:00,101.013625,1,Índice industria,ceuta
2023-09-01T00:00:00.000+02:00,101.19966666666667,1,Índice industria,ceuta
2023-10-01T00:00:00.000+02:00,101.64110000000001,1,Índice industria,ceuta
2023-11-01T00:00:00.000+01:00,101.87718181818182,1,Índice industria,ceuta
2023-12-01T00:00:00.000+01:00,100.6975,1,Índice industria,ceuta
2023-01-01T00:00:00.000+01:00,81.072,1,Índice industria corregido,ceuta
2023-02-01T00:00:00.000+01:00,84.5775,1,Índice industria corregido,ceuta
2023-03-01T00:00:00.000+01:00,85.83466666666668,1,Índice industria corregido,ceuta
2023-04-01T00:00:00.000+02:00,85.5575,1,Índice industria corregido,ceuta
2023-05-01T00:00:00.000+02:00,85.6732,1,Índice industria corregido,ceuta
2023-06-01T00:00:00.000+02:00,85.50183333333332,1,Índice industria corregido,ceuta
2023-07-01T00:00:00.000+02:00,84.38842857142856,1,Índice industria corregido,ceuta
2023-08-01T00:00:00.000+02:00,81.978,1,Índice industria corregido,ceuta
2023-09-01T00:00:00.000+02:00,82.137,1,Índice industria corregido,ceuta
2023-10-01T00:00:00.000+02:00,82.38359999999999,1,Índice industria corregido,ceuta
2023-11-01T00:00:00.000+01:00,82.91545454545454,1,Índice industria corregido,ceuta
2023-12-01T00:00:00.000+01:00,82.27708333333332,1,Índice industria corregido,ceuta
2023-01-01T00:00:00.000+01:00,-8.839937194051906,1,Annual variation,ceuta
2023-02-01T00:00:00.000+01:00,-8.26183414679713,1,Annual variation,ceuta
2023-03-01T00:00:00.000+01:00,-5.723422346547696,1,Annual variation,ceuta
2023-04-01T00:00:00.000+02:00,-6.437815868201176,1,Annual variation,ceuta
2023-05-01T00:00:00.000+02:00,-7.1806123466640095,1,Annual variation,ceuta
2023-06-01T00:00:00.000+02:00,-7.419339349432947,1,Annual variation,ceuta
2023-07-01T00:00:00.000+02:00,-7.656385347355441,1,Annual variation,ceuta
2023-08-01T00:00:00.000+02:00,-7.691736554853182,1,Annual variation,ceuta
2023-09-01T00:00:00.000+02:00,-7.48182745324302,1,Annual variation,ceuta
2023-10-01T00:00:00.000+02:00,-6.914568206961732,1,Annual variation,ceuta
2023-11-01T00:00:00.000+01:00,-6.198056913175479,1,Annual variation,ceuta
2023-12-01T00:00:00.000+01:00,-5.912829389189061,1,Annual variation,ceuta
2023-01-01T00:00:00.000+01:00,-9.564286192356601,1,Corrected annual variation,ceuta
2023-02-01T00:00:00.000+01:00,-8.828031519829246,1,Corrected annual variation,ceuta
2023-03-01T00:00:00.000+01:00,-6.425132183803616,1,Corrected annual variation,ceuta
2023-04-01T00:00:00.000+02:00,-6.987046730699186,1,Corrected annual variation,ceuta
2023-05-01T00:00:00.000+02:00,-7.423560023859133,1,Corrected annual variation,ceuta
2023-06-01T00:00:00.000+02:00,-7.587065348774804,1,Corrected annual variation,ceuta
2023-07-01T00:00:00.000+02:00,-7.59417832326452,1,Corrected annual variation,ceuta
2023-08-01T00:00:00.000+02:00,-7.706077553329545,1,Corrected annual variation,ceuta
2023-09-01T00:00:00.000+02:00,-7.379606380899408,1,Corrected annual variation,ceuta
2023-10-01T00:00:00.000+02:00,-6.908241164692238,1,Corrected annual variation,ceuta
2023-11-01T00:00:00.000+01:00,-6.158590099873779,1,Corrected annual variation,ceuta
2023-12-01T00:00:00.000+01:00,-5.797868889372328,1,Corrected annual variation,ceuta
2023-01-01T00:00:00.000+01:00,98.699,1,Índice industria,melilla
2023-02-01T00:00:00.000+01:00,98.208,1,Índice industria,melilla
2023-03-01T00:00:00.000+01:00,102.00600000000001,1,Índice industria,melilla
2023-04-01T00:00:00.000+02:00,101.173,1,Índice industria,melilla
2023-05-01T00:00:00.000+02:00,102.377,1,Índice industria,melilla
2023-06-01T00:00:00.000+02:00,102.8315,1,Índice industria,melilla
2023-07-01T00:00:00.000+02:00,102.79757142857144,1,Índice industria,melilla
2023-08-01T00:00:00.000+02:00,101.013625,1,Índice industria,melilla
2023-09-01T00:00:00.000+02:00,101.19966666666667,1,Índice industria,melilla
2023-10-01T00:00:00.000+02:00,101.64110000000001,1,Índice industria,melilla
2023-11-01T00:00:00.000+01:00,101.87718181818182,1,Índice industria,melilla
2023-12-01T00:00:00.000+01:00,100.6975,1,Índice industria,melilla
2023-01-01T00:00:00.000+01:00,81.072,1,Índice industria corregido,melilla
2023-02-01T00:00:00.000+01:00,84.5775,1,Índice industria corregido,melilla
2023-03-01T00:00:00.000+01:00,85.83466666666668,1,Índice industria corregido,melilla
2023-04-01T00:00:00.000+02:00,85.5575,1,Índice industria corregido,melilla
2023-05-01T00:00:00.000+02:00,85.6732,1,Índice industria corregido,melilla
2023-06-01T00:00:00.000+02:00,85.50183333333332,1,Índice industria corregido,melilla
2023-07-01T00:00:00.000+02:00,84.38842857142856,1,Índice industria corregido,melilla
2023-08-01T00:00:00.000+02:00,81.978,1,Índice industria corregido,melilla
2023-09-01T00:00:00.000+02:00,82.137,1,Índice industria corregido,melilla
2023-10-01T00:00:00.000+02:00,82.38359999999999,1,Índice industria corregido,melilla
2023-11-01T00:00:00.000+01:00,82.91545454545454,1,Índice industria corregido,melilla
2023-12-01T00:00:00.000+01:00,82.27708333333332,1,Índice industria corregido,melilla
2023-01-01T00:00:00.000+01:00,-8.839937194051906,1,Annual variation,melilla
2023-02-01T00:00:00.000+01:00,-8.26183414679713,1,Annual variation,melilla
2023-03-01T00:00:00.000+01:00,-5.723422346547696,1,Annual variation,melilla
2023-04-01T00:00:00.000+02:00,-6.437815868201176,1,Annual variation,melilla
2023-05-01T00:00:00.000+02:00,-7.1806123466640095,1,Annual variation,melilla
2023-06-01T00:00:00.000+02:00,-7.419339349432947,1,Annual variation,melilla
2023-07-01T00:00:00.000+02:00,-7.656385347355441,1,Annual variation,melilla
2023-08-01T00:00:00.000+02:00,-7.691736554853182,1,Annual variation,melilla
2023-09-01T00:00:00.000+02:00,-7.48182745324302,1,Annual variation,melilla
2023-10-01T00:00:00.000+02:00,-6.914568206961732,1,Annual variation,melilla
2023-11-01T00:00:00.000+01:00,-6.198056913175479,1,Annual variation,melilla
2023-12-01T00:00:00.000+01:00,-5.912829389189061,1,Annual variation,melilla
2023-01-01T00:00:00.000+01:00,-9.564286192356601,1,Corrected annual variation,melilla
2023-02-01T00:00:00.000+01:00,-8.828031519829246,1,Corrected annual variation,melilla
2023-03-01T00:00:00.000+01:00,-6.425132183803616,1,Corrected annual variation,melilla
2023-04-01T00:00:00.000+02:00,-6.987046730699186,1,Corrected annual variation,melilla
2023-05-01T00:00:00.000+02:00,-7.423560023859133,1,Corrected annual variation,melilla
2023-06-01T00:00:00.000+02:00,-7.587065348774804,1,Corrected annual variation,melilla
2023-07-01T00:00:00.000+02:00,-7.59417832326452,1,Corrected annual variation,melilla
2023-08-01T00:00:00.000+02:00,-7.706077553329545,1,Corrected annual variation,melilla
2023-09-01T00:00:00.000+02:00,-7.379606380899408,1,Corrected annual variation,melilla
2023-10-01T00:00:00.000+02:00,-6.908241164692238,1,Corrected annual variation,melilla
2023-11-01T00:00:00.000+01:00,-6.158590099873779,1,Corrected annual variation,melilla
2023-12-01T00:00:00.000+01:00,-5.797868889372328,1,Corrected annual variation,melilla
2023-01-01T00:00:00.000+01:00,98.699,1,Índice industria,andalucia
2023-02-01T00:00:00.000+01:00,98.208,1,Índice industria,andalucia
2023-03-01T00:00:00.000+01:00,102.00600000000001,1,Índice industria,andalucia
2023-04-01T00:00:00.000+02:00,101.173,1,Índice industria,andalucia
2023-05-01T00:00:00.000+02:00,102.377,1,Índice industria,andalucia
2023-06-01T00:00:00.000+02:00,102.8315,1,Índice industria,andalucia
2023-07-01T00:00:00.000+02:00,102.79757142857144,1,Índice industria,andalucia
2023-08-01T00:00:00.000+02:00,101.013625,1,Índice industria,andalucia
2023-09-01T00:00:00.000+02:00,101.19966666666667,1,Índice industria,andalucia
2023-10-01T00:00:00.000+02:00,101.64110000000001,1,Índice industria,andalucia
2023-11-01T00:00:00.000+01:00,101.87718181818182,1,Índice industria,andalucia
2023-12-01T00:00:00.000+01:00,100.6975,1,Índice industria,andalucia
2023-01-01T00:00:00.000+01:00,81.072,1,Índice industria corregido,andalucia
2023-02-01T00:00:00.000+01:00,84.5775,1,Índice industria corregido,andalucia
2023-03-01T00:00:00.000+01:00,85.83466666666668,1,Índice industria corregido,andalucia
2023-04-01T00:00:00.000+02:00,85.5575,1,Índice industria corregido,andalucia
2023-05-01T00:00:00.000+02:00,85.6732,1,Índice industria corregido,andalucia
2023-06-01T00:00:00.000+02:00,85.50183333333332,1,Índice industria corregido,andalucia
2023-07-01T00:00:00.000+02:00,84.38842857142856,1,Índice industria corregido,andalucia
2023-08-01T00:00:00.000+02:00,81.978,1,Índice industria corregido,andalucia
2023-09-01T00:00:00.000+02:00,82.137,1,Índice industria corregido,andalucia
2023-10-01T00:00:00.000+02:00,82.38359999999999,1,Índice industria corregido,andalucia
2023-11-01T00:00:00.000+01:00,82.91545454545454,1,Índice industria corregido,andalucia
2023-12-01T00:00:00.000+01:00,82.27708333333332,1,Índice industria corregido,andalucia
2023-01-01T00:00:00.000+01:00,-8.839937194051906,1,Annual variation,andalucia
2023-02-01T00:00:00.000+01:00,-8.26183414679713,1,Annual variation,andalucia
2023-03-01T00:00:00.000+01:00,-5.723422346547696,1,Annual variation,andalucia
2023-04-01T00:00:00.000+02:00,-6.437815868201176,1,Annual variation,andalucia
2023-05-01T00:00:00.000+02:00,-7.1806123466640095,1,Annual variation,andalucia
2023-06-01T00:00:00.000+02:00,-7.419339349432947,1,Annual variation,andalucia
2023-07-01T00:00:00.000+02:00,-7.656385347355441,1,Annual variation,andalucia
2023-08-01T00:00:00.000+02:00,-7.691736554853182,1,Annual variation,andalucia
2023-09-01T00:00:00.000+02:00,-7.48182745324302,1,Annual variation,andalucia
2023-10-01T00:00:00.000+02:00,-6.914568206961732,1,Annual variation,andalucia
2023-11-01T00:00:00.000+01:00,-6.198056913175479,1,Annual variation,andalucia
2023-12-01T00:00:00.000+01:00,-5.912829389189061,1,Annual variation,andalucia
2023-01-01T00:00:00.000+01:00,-9.564286192356601,1,Corrected annual variation,andalucia
2023-02-01T00:00:00.000+01:00,-8.828031519829246,1,Corrected annual variation,andalucia
2023-03-01T00:00:00.000+01:00,-6.425132183803616,1,Corrected annual variation,andalucia
2023-04-01T00:00:00.000+02:00,-6.987046730699186,1,Corrected annual variation,andalucia
2023-05-01T00:00:00.000+02:00,-7.423560023859133,1,Corrected annual variation,andalucia
2023-06-01T00:00:00.000+02:00,-7.587065348774804,1,Corrected annual variation,andalucia
2023-07-01T00:00:00.000+02:00,-7.59417832326452,1,Corrected annual variation,andalucia
2023-08-01T00:00:00.000+02:00,-7.706077553329545,1,Corrected annual variation,andalucia
2023-09-01T00:00:00.000+02:00,-7.379606380899408,1,Corrected annual variation,andalucia
2023-10-01T00:00:00.000+02:00,-6.908241164692238,1,Corrected annual variation,andalucia
2023-11-01T00:00:00.000+01:00,-6.158590099873779,1,Corrected annual variation,andalucia
2023-12-01T00:00:00.000+01:00,-5.797868889372328,1,Corrected annual variation,andalucia
2023-01-01T00:00:00.000+01:00,98.699,1,Índice industria,aragon
2023-02-01T00:00:00.000+01:00,98.208,1,Índice industria,aragon
2023-03-01T00:00:00.000+01:00,102.00600000000001,1,Índice industria,aragon
2023-04-01T00:00:00.000+02:00,101.173,1,Índice industria,aragon
2023-05-01T00:00:00.000+02:00,102.377,1,Índice industria,aragon
2023-06-01T00:00:00.000+02:00,102.8315,1,Índice industria,aragon
2023-07-01T00:00:00.000+02:00,102.79757142857144,1,Índice industria,aragon
2023-08-01T00:00:00.000+02:00,101.013625,1,Índice industria,aragon
2023-09-01T00:00:00.000+02:00,101.19966666666667,1,Índice industria,aragon
2023-10-01T00:00:00.000+02:00,101.64110000000001,1,Índice industria,aragon
2023-11-01T00:00:00.000+01:00,101.87718181818182,1,Índice industria,aragon
2023-12-01T00:00:00.000+01:00,100.6975,1,Índice industria,aragon
2023-01-01T00:00:00.000+01:00,81.072,1,Índice industria corregido,aragon
2023-02-01T00:00:00.000+01:00,84.5775,1,Índice industria corregido,aragon
2023-03-01T00:00:00.000+01:00,85.83466666666668,1,Índice industria corregido,aragon
2023-04-01T00:00:00.000+02:00,85.5575,1,Índice industria corregido,aragon
2023-05-01T00:00:00.000+02:00,85.6732,1,Índice industria corregido,aragon
2023-06-01T00:00:00.000+02:00,85.50183333333332,1,Índice industria corregido,aragon
2023-07-01T00:00:00.000+02:00,84.38842857142856,1,Índice industria corregido,aragon
2023-08-01T00:00:00.000+02:00,81.978,1,Índice industria corregido,aragon
2023-09-01T00:00:00.000+02:00,82.137,1,Índice industria corregido,aragon
2023-10-01T00:00:00.000+02:00,82.38359999999999,1,Índice industria corregido,aragon
2023-11-01T00:00:00.000+01:00,82.91545454545454,1,Índice industria corregido,aragon
2023-12-01T00:00:00.000+01:00,82.27708333333332,1,Índice industria corregido,aragon
2023-01-01T00:00:00.000+01:00,-8.839937194051906,1,Annual variation,aragon
2023-02-01T00:00:00.000+01:00,-8.26183414679713,1,Annual variation,aragon
2023-03-01T00:00:00.000+01:00,-5.723422346547696,1,Annual variation,aragon
2023-04-01T00:00:00.000+02:00,-6.437815868201176,1,Annual variation,aragon
2023-05-01T00:00:00.000+02:00,-7.1806123466640095,1,Annual variation,aragon
2023-06-01T00:00:00.000+02:00,-7.419339349432947,1,Annual variation,aragon
2023-07-01T00:00:00.000+02:00,-7.656385347355441,1,Annual variation,aragon
2023-08-01T00:00:00.000+02:00,-7.691736554853182,1,Annual variation,aragon
2023-09-01T00:00:00.000+02:00,-7.48182745324302,1,Annual variation,aragon
2023-10-01T00:00:00.000+02:00,-6.914568206961732,1,Annual variation,aragon
2023-11-01T00:00:00.000+01:00,-6.198056913175479,1,Annual variation,aragon
2023-12-01T00:00:00.000+01:00,-5.912829389189061,1,Annual variation,aragon
2023-01-01T00:00:00.000+01:00,-9.564286192356601,1,Corrected annual variation,aragon
2023-02-01T00:00:00.000+01:00,-8.828031519829246,1,Corrected annual variation,aragon
2023-03-01T00:00:00.000+01:00,-6.425132183803616,1,Corrected annual variation,aragon
2023-04-01T00:00:00.000+02:00,-6.987046730699186,1,Corrected annual variation,aragon
2023-05-01T00:00:00.000+02:00,-7.423560023859133,1,Corrected annual variation,aragon
2023-06-01T00:00:00.000+02:00,-7.587065348774804,1,Corrected annual variation,aragon
2023-07-01T00:00:00.000+02:00,-7.59417832326452,1,Corrected annual variation,aragon
2023-08-01T00:00:00.000+02:00,-7.706077553329545,1,Corrected annual variation,aragon
2023-09-01T00:00:00.000+02:00,-7.379606380899408,1,Corrected annual variation,aragon
2023-10-01T00:00:00.000+02:00,-6.908241164692238,1,Corrected annual variation,aragon
2023-11-01T00:00:00.000+01:00,-6.158590099873779,1,Corrected annual variation,aragon
2023-12-01T00:00:00.000+01:00,-5.797868889372328,1,Corrected annual variation,aragon
2023-01-01T00:00:00.000+01:00,98.699,1,Índice industria,cantabria
2023-02-01T00:00:00.000+01:00,98.208,1,Índice industria,cantabria
2023-03-01T00:00:00.000+01:00,102.00600000000001,1,Índice industria,cantabria
2023-04-01T00:00:00.000+02:00,101.173,1,Índice industria,cantabria
2023-05-01T00:00:00.000+02:00,102.377,1,Índice industria,cantabria
2023-06-01T00:00:00.000+02:00,102.8315,1,Índice industria,cantabria
2023-07-01T00:00:00.000+02:00,102.79757142857144,1,Índice industria,cantabria
2023-08-01T00:00:00.000+02:00,101.013625,1,Índice industria,cantabria
2023-09-01T00:00:00.000+02:00,101.19966666666667,1,Índice industria,cantabria
